frame,time,track_id,class,x1,y1,x2,y2,confidence,event
2,16:38:58,1,Person,170,190,473,479,0.76,
2,16:38:58,2,Person,0,336,88,479,0.65,
3,16:38:58,1,Person,192,196,479,479,0.81,
3,16:38:58,2,Person,0,334,71,479,0.66,
4,16:38:58,1,Person,203,204,481,479,0.86,
4,16:38:58,2,Person,0,335,64,479,0.49,
5,16:38:58,1,Person,203,213,475,479,0.83,
5,16:38:58,2,Person,0,335,64,479,0.49,
6,16:38:58,1,Person,201,211,474,479,0.85,
6,16:38:58,2,Person,0,343,54,479,0.51,
7,16:38:59,1,Person,199,214,475,479,0.86,
7,16:38:59,2,Person,0,343,54,479,0.39,
8,16:38:59,1,Person,196,217,472,479,0.81,
8,16:38:59,2,Person,0,343,55,480,0.32,
9,16:38:59,1,Person,197,219,469,479,0.80,
9,16:38:59,2,Person,0,345,52,479,0.59,
10,16:38:59,1,Person,196,219,469,479,0.85,
10,16:38:59,2,Person,0,344,49,479,0.30,
11,16:38:59,1,Person,195,216,473,479,0.84,
11,16:38:59,2,Person,0,344,49,479,0.48,
12,16:38:59,1,Person,196,213,475,479,0.83,
12,16:38:59,2,Person,0,339,51,479,0.34,
13,16:38:59,1,Person,192,207,476,479,0.65,
13,16:38:59,2,Person,0,339,51,479,0.34,
14,16:38:59,1,Person,191,204,464,479,0.75,
14,16:38:59,2,Person,0,332,52,479,0.32,
15,16:38:59,1,Person,186,183,471,479,0.78,
15,16:38:59,2,Person,0,331,56,479,0.30,
16,16:38:59,1,Person,195,148,472,479,0.85,
16,16:38:59,2,Person,0,331,56,479,0.30,
17,16:39:00,1,Person,194,140,473,479,0.85,
17,16:39:00,2,Person,0,332,53,479,0.35,
18,16:39:00,1,Person,185,148,470,479,0.85,
18,16:39:00,2,Person,0,341,58,479,0.50,
19,16:39:00,1,Person,185,150,471,479,0.85,
19,16:39:00,2,Person,0,342,55,479,0.67,
20,16:39:00,1,Person,187,147,470,479,0.84,
20,16:39:00,2,Person,0,347,66,479,0.66,
21,16:39:00,1,Person,195,147,476,479,0.83,
21,16:39:00,2,Person,0,396,53,479,0.47,
22,16:39:00,1,Person,197,148,475,479,0.83,
22,16:39:00,2,Person,0,351,65,479,0.47,
23,16:39:00,1,Person,209,151,477,479,0.83,
23,16:39:00,2,Person,0,355,64,479,0.62,
24,16:39:00,1,Person,214,152,482,479,0.84,
24,16:39:00,2,Person,0,356,59,479,0.55,
25,16:39:00,1,Person,214,152,481,479,0.84,
25,16:39:00,2,Person,0,354,57,480,0.45,
26,16:39:00,1,Person,217,153,485,479,0.83,
26,16:39:00,2,Person,0,356,56,479,0.43,
27,16:39:01,1,Person,215,152,486,479,0.84,
27,16:39:01,2,Person,0,355,62,479,0.56,
28,16:39:01,1,Person,215,151,486,479,0.84,
28,16:39:01,2,Person,0,353,61,479,0.51,
29,16:39:01,1,Person,215,148,479,479,0.86,
29,16:39:01,2,Person,0,349,58,479,0.45,
30,16:39:01,1,Person,218,147,486,479,0.84,
30,16:39:01,2,Person,0,349,58,479,0.45,
31,16:39:01,1,Person,231,144,496,479,0.87,
31,16:39:01,2,Person,0,349,58,479,0.45,
32,16:39:01,1,Person,235,143,498,479,0.87,
32,16:39:01,2,Person,0,349,58,479,0.45,
33,16:39:01,1,Person,248,141,511,480,0.86,
33,16:39:01,2,Person,0,349,58,479,0.45,
34,16:39:01,1,Person,249,143,508,479,0.88,
34,16:39:01,2,Person,0,349,58,479,0.45,
35,16:39:01,1,Person,249,143,505,479,0.87,
35,16:39:01,2,Person,0,349,58,479,0.45,
36,16:39:02,1,Person,231,146,498,479,0.62,
36,16:39:02,2,Person,0,349,58,479,0.45,
37,16:39:02,1,Person,202,136,497,479,0.49,
37,16:39:02,2,Person,0,349,58,479,0.45,
38,16:39:02,1,Person,211,132,500,479,0.63,
38,16:39:02,2,Person,0,349,58,479,0.45,
39,16:39:02,1,Person,180,117,510,480,0.51,
39,16:39:02,2,Person,0,349,58,479,0.45,
40,16:39:02,1,Person,1,118,526,479,0.74,
40,16:39:02,2,Person,0,349,58,479,0.45,
41,16:39:02,1,Person,4,125,579,479,0.61,
41,16:39:02,2,Person,0,349,58,479,0.45,
42,16:39:02,1,Person,11,132,569,479,0.64,
42,16:39:02,2,Person,0,349,58,479,0.45,
43,16:39:02,1,Person,45,137,536,479,0.60,
43,16:39:02,2,Person,0,349,58,479,0.45,
44,16:39:02,1,Person,124,139,520,479,0.69,
44,16:39:02,2,Person,0,349,58,479,0.45,
45,16:39:02,1,Person,121,139,518,480,0.71,
45,16:39:02,2,Person,0,349,58,479,0.45,
46,16:39:03,1,Person,225,137,514,479,0.82,
46,16:39:03,2,Person,0,349,58,479,0.45,
47,16:39:03,1,Person,227,134,515,479,0.81,
47,16:39:03,2,Person,0,349,58,479,0.45,
48,16:39:03,1,Person,229,134,522,479,0.80,
48,16:39:03,2,Person,0,349,58,479,0.45,
49,16:39:03,1,Person,254,142,533,479,0.85,
49,16:39:03,2,Person,0,349,58,479,0.45,
50,16:39:03,1,Person,252,152,518,479,0.84,
50,16:39:03,2,Person,0,349,58,479,0.45,
51,16:39:03,1,Person,253,150,509,479,0.73,
51,16:39:03,2,Person,0,349,58,479,0.45,
52,16:39:03,1,Person,253,150,509,479,0.73,
52,16:39:03,2,Person,0,349,58,479,0.45,
52,16:39:03,3,Person,2,116,595,479,0.67,
53,16:39:03,1,Person,253,150,509,479,0.73,
53,16:39:03,2,Person,0,349,58,479,0.45,
53,16:39:03,3,Person,1,135,554,478,0.74,
54,16:39:03,1,Person,253,150,509,479,0.73,
54,16:39:03,2,Person,0,349,58,479,0.45,
54,16:39:03,3,Person,1,140,494,479,0.77,
55,16:39:03,1,Person,253,150,509,479,0.73,
55,16:39:03,2,Person,0,349,58,479,0.45,
55,16:39:03,3,Person,3,141,557,479,0.66,
56,16:39:04,1,Person,253,150,509,479,0.73,
56,16:39:04,2,Person,0,349,58,479,0.45,
56,16:39:04,3,Person,1,54,582,478,0.69,
57,16:39:04,1,Person,253,150,509,479,0.73,
57,16:39:04,2,Person,0,349,58,479,0.45,
57,16:39:04,3,Person,1,110,540,479,0.65,
58,16:39:04,1,Person,253,150,509,479,0.73,
58,16:39:04,2,Person,0,349,58,479,0.45,
58,16:39:04,3,Person,2,160,606,479,0.66,
59,16:39:04,1,Person,253,150,509,479,0.73,
59,16:39:04,2,Person,0,349,58,479,0.45,
59,16:39:04,3,Person,2,158,589,479,0.58,
60,16:39:04,1,Person,253,150,509,479,0.73,
60,16:39:04,3,Person,74,157,475,479,0.42,
60,16:39:04,5,Person,0,3,206,477,0.32,
61,16:39:04,1,Person,253,150,509,479,0.73,
61,16:39:04,3,Person,49,156,474,479,0.50,
61,16:39:04,5,Person,0,4,202,476,0.56,
62,16:39:04,1,Person,253,150,509,479,0.73,
62,16:39:04,3,Person,9,150,476,479,0.74,
62,16:39:04,5,Person,0,2,181,475,0.52,EXIT
63,16:39:04,1,Person,253,150,509,479,0.73,
63,16:39:04,3,Person,4,146,476,480,0.61,
63,16:39:04,5,Person,0,3,164,473,0.39,
64,16:39:04,1,Person,253,150,509,479,0.73,
64,16:39:04,3,Person,5,145,476,480,0.47,
64,16:39:04,5,Person,0,5,159,471,0.42,
64,16:39:04,6,Parcel,39,146,358,306,0.59,
65,16:39:04,1,Person,253,150,509,479,0.73,
65,16:39:04,3,Person,4,144,471,479,0.55,
65,16:39:04,5,Person,0,1,147,470,0.53,
65,16:39:04,6,Parcel,39,146,358,306,0.59,
66,16:39:05,1,Person,253,150,509,479,0.73,
66,16:39:05,3,Person,9,144,473,480,0.66,
66,16:39:05,5,Person,0,2,147,471,0.48,
66,16:39:05,6,Parcel,39,146,358,306,0.59,
67,16:39:05,1,Person,253,150,509,479,0.73,
67,16:39:05,3,Person,3,145,469,480,0.66,
67,16:39:05,5,Person,0,1,147,471,0.54,
67,16:39:05,6,Parcel,39,146,358,306,0.59,
68,16:39:05,1,Person,253,150,509,479,0.73,
68,16:39:05,3,Person,6,147,474,480,0.53,
68,16:39:05,5,Person,0,11,145,472,0.61,ENTRY
68,16:39:05,6,Parcel,30,146,346,302,0.50,
69,16:39:05,1,Person,253,150,509,479,0.73,
69,16:39:05,3,Person,5,152,472,479,0.49,
69,16:39:05,5,Person,0,5,143,470,0.64,EXIT
69,16:39:05,6,Parcel,33,150,343,307,0.43,
69,16:39:05,8,Parcel,27,151,344,307,0.48,
70,16:39:05,1,Person,253,150,509,479,0.73,
70,16:39:05,3,Person,4,151,474,480,0.49,
70,16:39:05,5,Person,0,0,142,477,0.76,
70,16:39:05,6,Parcel,33,151,343,306,0.30,
70,16:39:05,8,Parcel,25,152,343,307,0.48,
71,16:39:05,1,Person,232,158,472,479,0.49,
71,16:39:05,3,Person,4,151,474,480,0.49,
71,16:39:05,5,Person,0,0,140,477,0.77,
71,16:39:05,6,Parcel,33,151,343,306,0.30,
71,16:39:05,8,Parcel,19,153,340,308,0.87,
72,16:39:05,1,Person,231,159,470,479,0.53,
72,16:39:05,3,Person,4,151,474,480,0.49,
72,16:39:05,5,Person,0,0,138,474,0.78,
72,16:39:05,6,Parcel,33,151,343,306,0.30,
72,16:39:05,8,Parcel,20,154,337,308,0.83,
73,16:39:05,1,Person,231,159,472,479,0.51,
73,16:39:05,3,Person,4,151,474,480,0.49,
73,16:39:05,5,Person,0,0,137,474,0.79,
73,16:39:05,6,Parcel,33,151,343,306,0.30,
73,16:39:05,8,Parcel,17,154,336,308,0.88,
74,16:39:05,1,Person,233,158,472,479,0.55,
74,16:39:05,3,Person,4,151,474,480,0.49,
74,16:39:05,5,Person,0,0,137,476,0.79,
