frame,time,track_id,class,x1,y1,x2,y2,confidence,event
2,16:49:57,1,Person,0,104,545,479,0.89,
2,16:49:57,2,Person,522,460,566,479,0.41,
3,16:49:57,1,Person,0,103,525,479,0.88,
3,16:49:57,2,Person,523,460,561,479,0.56,
4,16:49:58,1,Person,0,101,551,479,0.85,
4,16:49:58,2,Person,523,460,561,479,0.56,
5,16:49:58,1,Person,2,103,556,479,0.88,
5,16:49:58,2,Person,523,460,561,479,0.56,
6,16:49:58,1,Person,0,101,556,479,0.86,
6,16:49:58,2,Person,523,460,561,479,0.56,
7,16:49:58,1,Person,2,103,554,479,0.86,
7,16:49:58,2,Person,523,460,561,479,0.56,
8,16:49:58,1,Person,7,100,555,479,0.89,
8,16:49:58,2,Person,523,460,561,479,0.56,
9,16:49:58,1,Person,8,104,557,479,0.89,
9,16:49:58,2,Person,523,460,561,479,0.56,
10,16:49:58,1,Person,14,102,542,479,0.86,
10,16:49:58,2,Person,523,460,561,479,0.56,
11,16:49:58,1,Person,23,99,549,479,0.87,
11,16:49:58,2,Person,523,460,561,479,0.56,
12,16:49:58,1,Person,21,110,557,479,0.88,
12,16:49:58,2,Person,523,460,561,479,0.56,
13,16:49:58,1,Person,29,112,558,479,0.86,
13,16:49:58,2,Person,523,460,561,479,0.56,
14,16:49:58,1,Person,47,112,578,479,0.87,
14,16:49:58,2,Person,523,460,561,479,0.56,
15,16:49:58,1,Person,53,111,580,479,0.88,
15,16:49:58,2,Person,523,460,561,479,0.56,
16,16:49:59,1,Person,53,113,581,479,0.89,
16,16:49:59,2,Person,523,460,561,479,0.56,
17,16:49:59,1,Person,55,115,588,479,0.89,
17,16:49:59,2,Person,523,460,561,479,0.56,
18,16:49:59,1,Person,53,115,567,479,0.88,
18,16:49:59,2,Person,523,460,561,479,0.56,
19,16:49:59,1,Person,50,117,568,479,0.88,
19,16:49:59,2,Person,523,460,561,479,0.56,
20,16:49:59,1,Person,51,116,568,479,0.86,
20,16:49:59,2,Person,523,460,561,479,0.56,
21,16:49:59,1,Person,56,117,561,479,0.88,
21,16:49:59,2,Person,523,460,561,479,0.56,
22,16:49:59,1,Person,56,122,557,479,0.90,
22,16:49:59,2,Person,523,460,561,479,0.56,
23,16:49:59,1,Person,55,122,558,479,0.91,
23,16:49:59,2,Person,523,460,561,479,0.56,
24,16:49:59,1,Person,56,122,557,479,0.90,
24,16:49:59,2,Person,523,460,561,479,0.56,
25,16:49:59,1,Person,57,127,559,479,0.89,
25,16:49:59,2,Person,523,460,561,479,0.56,
26,16:49:59,1,Person,51,129,560,479,0.88,
26,16:49:59,2,Person,523,460,561,479,0.56,
27,16:49:59,1,Person,73,130,563,479,0.88,
27,16:49:59,2,Person,523,460,561,479,0.56,
28,16:49:59,1,Person,77,130,565,479,0.89,
28,16:49:59,2,Person,523,460,561,479,0.56,
29,16:50:00,1,Person,80,130,564,479,0.89,
29,16:50:00,2,Person,523,460,561,479,0.56,
30,16:50:00,1,Person,81,129,563,479,0.89,
30,16:50:00,2,Person,523,460,561,479,0.56,
31,16:50:00,1,Person,88,126,567,479,0.89,
31,16:50:00,2,Person,523,460,561,479,0.56,
32,16:50:00,1,Person,85,127,565,479,0.88,
32,16:50:00,2,Person,523,460,561,479,0.56,
33,16:50:00,1,Person,84,127,567,479,0.87,
33,16:50:00,2,Person,523,460,561,479,0.56,
34,16:50:00,1,Person,86,127,564,479,0.88,
35,16:50:00,1,Person,90,128,565,479,0.88,
36,16:50:00,1,Person,95,130,570,479,0.87,
37,16:50:00,1,Person,99,134,573,479,0.86,
38,16:50:00,1,Person,115,138,585,479,0.87,
39,16:50:00,1,Person,112,138,587,479,0.87,
40,16:50:00,1,Person,114,139,591,479,0.87,
